ID,customerNo,customerName,email,phone,city,tier,lifetimeRevenue,totalOrders,lastTierUpdate,region_ID
C0060,CUS00060,Apex Retail,customer60@gmail.com,9745661387,Hyderabad,Bronze,0,0,,R008
C0061,CUS00061,Apex Industries,customer61@gmail.com,9758680809,Kolkata,Bronze,0,0,,R002
C0062,CUS00062,Apex Solutions,customer62@gmail.com,9399326105,Mumbai,Bronze,0,0,,R008
C0063,CUS00063,Pioneer Electronics,customer63@gmail.com,9353923060,Mumbai,Bronze,0,0,,R001
C0064,CUS00064,Pioneer Corporation,customer64@gmail.com,9464539845,New York,Bronze,0,0,,R002
C0065,CUS00065,United Foods,customer65@gmail.com,9981805235,Kolkata,Bronze,0,0,,R008
C0066,CUS00066,Pioneer Electronics,customer66@gmail.com,9447156807,Mumbai,Bronze,0,0,,R006
C0067,CUS00067,Prime Technologies,customer67@gmail.com,9767463365,Dubai,Bronze,0,0,,R001
C0068,CUS00068,ABC Solutions,customer68@gmail.com,9694837946,Ahmedabad,Bronze,0,0,,R005
C0069,CUS00069,ABC Corporation,customer69@gmail.com,9361300927,Delhi,Bronze,0,0,,R002
C0070,CUS00070,Green Systems,customer70@gmail.com,9499030154,Bangalore,Bronze,0,0,,R007
C0071,CUS00071,Future Retail,customer71@gmail.com,9318544160,Kolkata,Bronze,0,0,,R005
C0072,CUS00072,United Systems,customer72@gmail.com,9810549973,Mumbai,Bronze,0,0,,R002
C0073,CUS00073,Vertex Enterprises,customer73@gmail.com,9754478199,Ahmedabad,Bronze,0,0,,R008
C0074,CUS00074,Elite Traders,customer74@gmail.com,9966236775,Delhi,Bronze,0,0,,R003
C0075,CUS00075,Vertex Foods,customer75@gmail.com,9688238301,Hyderabad,Bronze,0,0,,R008
C0076,CUS00076,Tech Retail,customer76@gmail.com,9396885123,Dubai,Bronze,0,0,,R001
C0077,CUS00077,Future Retail,customer77@gmail.com,9492050778,Ahmedabad,Bronze,0,0,,R007
C0078,CUS00078,Pioneer Solutions,customer78@gmail.com,9989390831,Berlin,Bronze,0,0,,R004
C0079,CUS00079,Elite Industries,customer79@gmail.com,9718257762,Kolkata,Bronze,0,0,,R001
C0080,CUS00080,Apex Industries,customer80@gmail.com,9216378875,Kolkata,Bronze,0,0,,R001
C0081,CUS00081,Apex Corporation,customer81@gmail.com,9739097347,Pune,Bronze,0,0,,R004
C0082,CUS00082,Prime Corporation,customer82@gmail.com,9106201087,Bangalore,Bronze,0,0,,R004
C0083,CUS00083,Green Technologies,customer83@gmail.com,9820358044,Kolkata,Bronze,0,0,,R007
C0084,CUS00084,Blue Traders,customer84@gmail.com,9649080578,Bangalore,Bronze,0,0,,R003
C0085,CUS00085,Pioneer Foods,customer85@gmail.com,9103121945,Mumbai,Bronze,0,0,,R005
C0086,CUS00086,United Enterprises,customer86@gmail.com,9122098873,Kolkata,Bronze,0,0,,R008
C0087,CUS00087,Green Technologies,customer87@gmail.com,9558316790,Kolkata,Bronze,0,0,,R001
C0088,CUS00088,United Solutions,customer88@gmail.com,9312619550,Bangalore,Bronze,0,0,,R008
C0089,CUS00089,Prime Retail,customer89@gmail.com,9583557939,Hyderabad,Bronze,0,0,,R002
C0090,CUS00090,Pioneer Systems,customer90@gmail.com,9234440217,Kolkata,Bronze,0,0,,R001
C0091,CUS00091,Global Industries,customer91@gmail.com,9527434541,Kolkata,Bronze,0,0,,R003
C0092,CUS00092,United Traders,customer92@gmail.com,9370752181,Pune,Bronze,0,0,,R001
C0093,CUS00093,Global Industries,customer93@gmail.com,9708383273,Berlin,Bronze,0,0,,R004
C0094,CUS00094,United Solutions,customer94@gmail.com,9658456478,New York,Bronze,0,0,,R002
C0095,CUS00095,United Technologies,customer95@gmail.com,9651960882,Delhi,Bronze,0,0,,R005
C0096,CUS00096,Green Industries,customer96@gmail.com,9302836607,Ahmedabad,Bronze,0,0,,R006
C0097,CUS00097,Green Technologies,customer97@gmail.com,9930470655,Chennai,Bronze,0,0,,R002
C0098,CUS00098,Vertex Enterprises,customer98@gmail.com,9925282620,Pune,Bronze,0,0,,R008
C0099,CUS00099,NextGen Traders,customer99@gmail.com,9775342101,Kolkata,Bronze,0,0,,R007
C0100,CUS00100,Green Systems,customer100@gmail.com,9691103266,Kolkata,Bronze,0,0,,R008
C0101,CUS00101,Elite Retail,customer101@gmail.com,9883449746,Berlin,Bronze,0,0,,R008
C0102,CUS00102,Future Retail,customer102@gmail.com,9105738200,Chennai,Bronze,0,0,,R005
C0103,CUS00103,Smart Traders,customer103@gmail.com,9954851923,Ahmedabad,Bronze,0,0,,R002
C0104,CUS00104,Future Technologies,customer104@gmail.com,9610843167,New York,Bronze,0,0,,R001
C0105,CUS00105,Apex Electronics,customer105@gmail.com,9569025659,Chennai,Bronze,0,0,,R007
C0106,CUS00106,Elite Foods,customer106@gmail.com,9891321968,Hyderabad,Bronze,0,0,,R006
C0107,CUS00107,Elite Enterprises,customer107@gmail.com,9331196412,Dubai,Bronze,0,0,,R002
C0108,CUS00108,Apex Enterprises,customer108@gmail.com,9721625860,Bangalore,Bronze,0,0,,R004
C0109,CUS00109,United Industries,customer109@gmail.com,9640825921,Pune,Bronze,0,0,,R001
C0110,CUS00110,NextGen Enterprises,customer110@gmail.com,9391766486,Pune,Bronze,0,0,,R001
C0111,CUS00111,Global Enterprises,customer111@gmail.com,9776844537,Berlin,Bronze,0,0,,R004
C0112,CUS00112,Tech Enterprises,customer112@gmail.com,9843354525,Kolkata,Bronze,0,0,,R001
C0113,CUS00113,Global Foods,customer113@gmail.com,9118420084,Pune,Bronze,0,0,,R002
C0114,CUS00114,Green Retail,customer114@gmail.com,9893739788,Kolkata,Bronze,0,0,,R004
C0115,CUS00115,Smart Retail,customer115@gmail.com,9843241656,Delhi,Bronze,0,0,,R007
C0116,CUS00116,ABC Foods,customer116@gmail.com,9576913164,Delhi,Bronze,0,0,,R002
C0117,CUS00117,Pioneer Electronics,customer117@gmail.com,9384020911,Kolkata,Bronze,0,0,,R001
C0118,CUS00118,ABC Industries,customer118@gmail.com,9690246908,Kolkata,Bronze,0,0,,R007
C0119,CUS00119,NextGen Industries,customer119@gmail.com,9720071217,Ahmedabad,Bronze,0,0,,R006
C0120,CUS00120,Apex Retail,customer120@gmail.com,9791637418,Berlin,Bronze,0,0,,R008
C0121,CUS00121,Apex Enterprises,customer121@gmail.com,9889425566,Mumbai,Bronze,0,0,,R002
C0122,CUS00122,Elite Enterprises,customer122@gmail.com,9286520752,Pune,Bronze,0,0,,R002
C0123,CUS00123,Global Industries,customer123@gmail.com,9488161500,Bangalore,Bronze,0,0,,R002
C0124,CUS00124,Apex Industries,customer124@gmail.com,9657034051,Ahmedabad,Bronze,0,0,,R005
C0125,CUS00125,United Electronics,customer125@gmail.com,9810151254,Mumbai,Bronze,0,0,,R005
C0126,CUS00126,NextGen Industries,customer126@gmail.com,9153659219,Pune,Bronze,0,0,,R006
C0127,CUS00127,Pioneer Traders,customer127@gmail.com,9202912916,Delhi,Bronze,0,0,,R006
C0128,CUS00128,Pioneer Retail,customer128@gmail.com,9138547964,Delhi,Bronze,0,0,,R003
C0129,CUS00129,Elite Industries,customer129@gmail.com,9963076425,Bangalore,Bronze,0,0,,R006
C0130,CUS00130,United Retail,customer130@gmail.com,9727071276,Chennai,Bronze,0,0,,R002
C0131,CUS00131,United Corporation,customer131@gmail.com,9723620318,New York,Bronze,0,0,,R008
C0132,CUS00132,Vertex Technologies,customer132@gmail.com,9902977461,Chennai,Bronze,0,0,,R008
C0133,CUS00133,Vision Foods,customer133@gmail.com,9908074305,Hyderabad,Bronze,0,0,,R005
C0134,CUS00134,Smart Enterprises,customer134@gmail.com,9445642348,Berlin,Bronze,0,0,,R005
C0135,CUS00135,Vertex Electronics,customer135@gmail.com,9902219590,Chennai,Bronze,0,0,,R001
C0136,CUS00136,Future Solutions,customer136@gmail.com,9115010611,Ahmedabad,Bronze,0,0,,R006
C0137,CUS00137,Elite Foods,customer137@gmail.com,9765936134,Dubai,Bronze,0,0,,R007
C0138,CUS00138,Pioneer Traders,customer138@gmail.com,9439673551,Pune,Bronze,0,0,,R008
C0139,CUS00139,Pioneer Electronics,customer139@gmail.com,9539790652,Bangalore,Bronze,0,0,,R006
C0140,CUS00140,Pioneer Electronics,customer140@gmail.com,9375767530,Hyderabad,Bronze,0,0,,R008
C0141,CUS00141,Pioneer Retail,customer141@gmail.com,9988314820,Kolkata,Bronze,0,0,,R003
C0142,CUS00142,NextGen Enterprises,customer142@gmail.com,9221684063,Delhi,Bronze,0,0,,R007
C0143,CUS00143,ABC Technologies,customer143@gmail.com,9985499392,Ahmedabad,Bronze,0,0,,R007
C0144,CUS00144,Pioneer Industries,customer144@gmail.com,9405440233,Dubai,Bronze,0,0,,R007
C0145,CUS00145,Future Enterprises,customer145@gmail.com,9200813796,Chennai,Bronze,0,0,,R006
C0146,CUS00146,Apex Industries,customer146@gmail.com,9262418587,Bangalore,Bronze,0,0,,R008
C0147,CUS00147,Prime Solutions,customer147@gmail.com,9586141724,Berlin,Bronze,0,0,,R001
C0148,CUS00148,ABC Retail,customer148@gmail.com,9403182396,Dubai,Bronze,0,0,,R002
C0149,CUS00149,Smart Technologies,customer149@gmail.com,9252755904,Bangalore,Bronze,0,0,,R002
C0150,CUS00150,ABC Foods,customer150@gmail.com,9680405212,New York,Bronze,0,0,,R008
C0151,CUS00151,Elite Enterprises,customer151@gmail.com,9658378560,Mumbai,Bronze,0,0,,R007
C0152,CUS00152,Blue Solutions,customer152@gmail.com,9324026602,Berlin,Bronze,0,0,,R005
C0153,CUS00153,Green Industries,customer153@gmail.com,9850696908,Mumbai,Bronze,0,0,,R006
C0154,CUS00154,United Retail,customer154@gmail.com,9608891224,Kolkata,Bronze,0,0,,R008
C0155,CUS00155,Vision Enterprises,customer155@gmail.com,9459090364,Delhi,Bronze,0,0,,R008
C0156,CUS00156,Green Enterprises,customer156@gmail.com,9255580480,Delhi,Bronze,0,0,,R003
C0157,CUS00157,Smart Industries,customer157@gmail.com,9905776920,New York,Bronze,0,0,,R002
C0158,CUS00158,Prime Industries,customer158@gmail.com,9318956742,Bangalore,Bronze,0,0,,R001
C0159,CUS00159,Vertex Industries,customer159@gmail.com,9369197649,Mumbai,Bronze,0,0,,R005
C0160,CUS00160,Apex Corporation,customer160@gmail.com,9877179616,Kolkata,Bronze,0,0,,R003
C0161,CUS00161,Future Enterprises,customer161@gmail.com,9196740221,Kolkata,Bronze,0,0,,R006
C0162,CUS00162,Vision Retail,customer162@gmail.com,9321697549,Bangalore,Bronze,0,0,,R007
C0163,CUS00163,Blue Industries,customer163@gmail.com,9198509538,Ahmedabad,Bronze,0,0,,R007
C0164,CUS00164,Green Solutions,customer164@gmail.com,9212196721,Delhi,Bronze,0,0,,R004
C0165,CUS00165,Tech Traders,customer165@gmail.com,9409119594,Dubai,Bronze,0,0,,R008
C0166,CUS00166,Green Enterprises,customer166@gmail.com,9957044505,Hyderabad,Bronze,0,0,,R002
C0167,CUS00167,Blue Traders,customer167@gmail.com,9300558452,Dubai,Bronze,0,0,,R006
C0168,CUS00168,Elite Traders,customer168@gmail.com,9433374761,Hyderabad,Bronze,0,0,,R006
C0169,CUS00169,Vision Industries,customer169@gmail.com,9652806884,Delhi,Bronze,0,0,,R003
C0170,CUS00170,ABC Industries,customer170@gmail.com,9330370247,Ahmedabad,Bronze,0,0,,R006
C0171,CUS00171,Pioneer Retail,customer171@gmail.com,9185535613,Hyderabad,Bronze,0,0,,R006
C0172,CUS00172,United Traders,customer172@gmail.com,9458526829,New York,Bronze,0,0,,R007
C0173,CUS00173,Future Technologies,customer173@gmail.com,9419763546,Hyderabad,Bronze,0,0,,R001
C0174,CUS00174,Smart Technologies,customer174@gmail.com,9819107333,Dubai,Bronze,0,0,,R003
C0175,CUS00175,Blue Solutions,customer175@gmail.com,9812367294,Hyderabad,Bronze,0,0,,R006
C0176,CUS00176,NextGen Traders,customer176@gmail.com,9687221115,Kolkata,Bronze,0,0,,R003
C0177,CUS00177,NextGen Solutions,customer177@gmail.com,9429743233,Ahmedabad,Bronze,0,0,,R003
C0178,CUS00178,Apex Systems,customer178@gmail.com,9681033734,Pune,Bronze,0,0,,R002
C0179,CUS00179,Elite Technologies,customer179@gmail.com,9593346176,Dubai,Bronze,0,0,,R008
C0180,CUS00180,Future Retail,customer180@gmail.com,9673112186,New York,Bronze,0,0,,R008
C0181,CUS00181,ABC Corporation,customer181@gmail.com,9873499643,Bangalore,Bronze,0,0,,R007
C0182,CUS00182,United Industries,customer182@gmail.com,9203512374,Hyderabad,Bronze,0,0,,R003
C0183,CUS00183,NextGen Industries,customer183@gmail.com,9784175664,Chennai,Bronze,0,0,,R007
C0184,CUS00184,Apex Systems,customer184@gmail.com,9773159788,Delhi,Bronze,0,0,,R001
C0185,CUS00185,Future Foods,customer185@gmail.com,9501822427,Chennai,Bronze,0,0,,R004
C0186,CUS00186,ABC Technologies,customer186@gmail.com,9637377111,Delhi,Bronze,0,0,,R004
C0187,CUS00187,United Systems,customer187@gmail.com,9836612686,Hyderabad,Bronze,0,0,,R001
C0188,CUS00188,Elite Traders,customer188@gmail.com,9490660175,Ahmedabad,Bronze,0,0,,R004
C0189,CUS00189,Smart Foods,customer189@gmail.com,9920529156,Pune,Bronze,0,0,,R004
C0190,CUS00190,ABC Traders,customer190@gmail.com,9279714982,Mumbai,Bronze,0,0,,R004
C0191,CUS00191,Blue Enterprises,customer191@gmail.com,9819971574,Hyderabad,Bronze,0,0,,R006
C0192,CUS00192,Vertex Industries,customer192@gmail.com,9400207985,New York,Bronze,0,0,,R005
C0193,CUS00193,Elite Electronics,customer193@gmail.com,9850011003,Delhi,Bronze,0,0,,R006
C0194,CUS00194,United Electronics,customer194@gmail.com,9512532678,Mumbai,Bronze,0,0,,R001
C0195,CUS00195,NextGen Systems,customer195@gmail.com,9656081382,Mumbai,Bronze,0,0,,R005
C0196,CUS00196,Tech Foods,customer196@gmail.com,9328651602,Dubai,Bronze,0,0,,R005
C0197,CUS00197,Green Corporation,customer197@gmail.com,9303240323,New York,Bronze,0,0,,R007
C0198,CUS00198,NextGen Industries,customer198@gmail.com,9398044212,Dubai,Bronze,0,0,,R005
C0199,CUS00199,Elite Traders,customer199@gmail.com,9857864273,New York,Bronze,0,0,,R002
C0200,CUS00200,Tech Electronics,customer200@gmail.com,9961241325,New York,Bronze,0,0,,R008
C0201,CUS00201,Prime Industries,customer201@gmail.com,9738925205,Pune,Bronze,0,0,,R003
C0202,CUS00202,Blue Industries,customer202@gmail.com,9183896512,Chennai,Bronze,0,0,,R003
C0203,CUS00203,Prime Industries,customer203@gmail.com,9899866239,Kolkata,Bronze,0,0,,R007
C0204,CUS00204,Apex Industries,customer204@gmail.com,9490147231,Ahmedabad,Bronze,0,0,,R001
C0205,CUS00205,Vertex Technologies,customer205@gmail.com,9704690366,Delhi,Bronze,0,0,,R003
C0206,CUS00206,Vertex Foods,customer206@gmail.com,9511947536,Delhi,Bronze,0,0,,R004
C0207,CUS00207,Apex Corporation,customer207@gmail.com,9749234529,Pune,Bronze,0,0,,R003
C0208,CUS00208,Pioneer Solutions,customer208@gmail.com,9801300511,Berlin,Bronze,0,0,,R005
C0209,CUS00209,Tech Corporation,customer209@gmail.com,9545604396,Pune,Bronze,0,0,,R007
C0210,CUS00210,Green Retail,customer210@gmail.com,9220888786,Dubai,Bronze,0,0,,R006
C0211,CUS00211,Blue Solutions,customer211@gmail.com,9374990875,Dubai,Bronze,0,0,,R002
C0212,CUS00212,Elite Corporation,customer212@gmail.com,9273919352,Berlin,Bronze,0,0,,R002
C0213,CUS00213,Pioneer Corporation,customer213@gmail.com,9172274105,Ahmedabad,Bronze,0,0,,R007
C0214,CUS00214,Global Solutions,customer214@gmail.com,9690399020,Bangalore,Bronze,0,0,,R001
C0215,CUS00215,Pioneer Industries,customer215@gmail.com,9779212821,Dubai,Bronze,0,0,,R003
C0216,CUS00216,Vision Foods,customer216@gmail.com,9603091430,Delhi,Bronze,0,0,,R007
C0217,CUS00217,Vision Industries,customer217@gmail.com,9645851940,Mumbai,Bronze,0,0,,R004
C0218,CUS00218,ABC Traders,customer218@gmail.com,9566636962,Dubai,Bronze,0,0,,R008
C0219,CUS00219,ABC Retail,customer219@gmail.com,9982950568,Ahmedabad,Bronze,0,0,,R005
C0220,CUS00220,Future Technologies,customer220@gmail.com,9919803930,Mumbai,Bronze,0,0,,R006
C0221,CUS00221,Prime Electronics,customer221@gmail.com,9671315304,Pune,Bronze,0,0,,R003
C0222,CUS00222,Apex Traders,customer222@gmail.com,9339085005,Berlin,Bronze,0,0,,R003
C0223,CUS00223,Pioneer Traders,customer223@gmail.com,9550790106,Dubai,Bronze,0,0,,R004
C0224,CUS00224,NextGen Enterprises,customer224@gmail.com,9987278281,Pune,Bronze,0,0,,R005
C0225,CUS00225,Green Electronics,customer225@gmail.com,9713647841,Bangalore,Bronze,0,0,,R007
C0226,CUS00226,Smart Electronics,customer226@gmail.com,9942647276,Mumbai,Bronze,0,0,,R001
C0227,CUS00227,Elite Traders,customer227@gmail.com,9378104524,New York,Bronze,0,0,,R006
C0228,CUS00228,Elite Solutions,customer228@gmail.com,9446889242,Delhi,Bronze,0,0,,R002
C0229,CUS00229,Elite Industries,customer229@gmail.com,9650451792,Hyderabad,Bronze,0,0,,R001
C0230,CUS00230,Smart Solutions,customer230@gmail.com,9871633724,New York,Bronze,0,0,,R006
C0231,CUS00231,Pioneer Solutions,customer231@gmail.com,9494497728,Delhi,Bronze,0,0,,R004
C0232,CUS00232,Elite Retail,customer232@gmail.com,9673031967,Ahmedabad,Bronze,0,0,,R001
C0233,CUS00233,Tech Foods,customer233@gmail.com,9342239265,Berlin,Bronze,0,0,,R002
C0234,CUS00234,Prime Retail,customer234@gmail.com,9708412404,Bangalore,Bronze,0,0,,R001
C0235,CUS00235,NextGen Industries,customer235@gmail.com,9982872525,Mumbai,Bronze,0,0,,R005
C0236,CUS00236,ABC Technologies,customer236@gmail.com,9173838662,Mumbai,Bronze,0,0,,R001
C0237,CUS00237,Pioneer Industries,customer237@gmail.com,9557411764,Mumbai,Bronze,0,0,,R004
C0238,CUS00238,Apex Electronics,customer238@gmail.com,9752887802,Pune,Bronze,0,0,,R003
C0239,CUS00239,Pioneer Industries,customer239@gmail.com,9756064739,Delhi,Bronze,0,0,,R004
C0240,CUS00240,Pioneer Traders,customer240@gmail.com,9174981158,New York,Bronze,0,0,,R008
C0241,CUS00241,Tech Electronics,customer241@gmail.com,9994748134,Delhi,Bronze,0,0,,R006
C0242,CUS00242,Pioneer Systems,customer242@gmail.com,9725431600,Ahmedabad,Bronze,0,0,,R001
C0243,CUS00243,Elite Industries,customer243@gmail.com,9410405132,Delhi,Bronze,0,0,,R005
C0244,CUS00244,Prime Industries,customer244@gmail.com,9117237255,Delhi,Bronze,0,0,,R005
C0245,CUS00245,Elite Technologies,customer245@gmail.com,9365636163,Hyderabad,Bronze,0,0,,R002
C0246,CUS00246,Future Electronics,customer246@gmail.com,9210322929,Chennai,Bronze,0,0,,R003
C0247,CUS00247,Tech Industries,customer247@gmail.com,9118848662,Berlin,Bronze,0,0,,R005
C0248,CUS00248,Smart Retail,customer248@gmail.com,9209208154,Delhi,Bronze,0,0,,R005
C0249,CUS00249,Apex Solutions,customer249@gmail.com,9756389330,Bangalore,Bronze,0,0,,R004
C0250,CUS00250,Pioneer Retail,customer250@gmail.com,9427891918,Hyderabad,Bronze,0,0,,R004
C0251,CUS00251,Elite Technologies,customer251@gmail.com,9958230280,Ahmedabad,Bronze,0,0,,R006
C0252,CUS00252,Blue Electronics,customer252@gmail.com,9460335795,Kolkata,Bronze,0,0,,R008
C0253,CUS00253,Elite Electronics,customer253@gmail.com,9250841483,Dubai,Bronze,0,0,,R004
C0254,CUS00254,Global Solutions,customer254@gmail.com,9879124408,Bangalore,Bronze,0,0,,R002
C0255,CUS00255,Green Systems,customer255@gmail.com,9830854214,Delhi,Bronze,0,0,,R005
C0256,CUS00256,Future Systems,customer256@gmail.com,9588566992,Mumbai,Bronze,0,0,,R007
C0257,CUS00257,Smart Technologies,customer257@gmail.com,9852309961,Mumbai,Bronze,0,0,,R005
C0258,CUS00258,Elite Traders,customer258@gmail.com,9583378859,Berlin,Bronze,0,0,,R007
C0259,CUS00259,Apex Systems,customer259@gmail.com,9704988444,New York,Bronze,0,0,,R003
C0260,CUS00260,Vision Corporation,customer260@gmail.com,9853608426,Chennai,Bronze,0,0,,R001
C0261,CUS00261,United Solutions,customer261@gmail.com,9893546920,Bangalore,Bronze,0,0,,R006
C0262,CUS00262,Elite Electronics,customer262@gmail.com,9974983594,New York,Bronze,0,0,,R002
C0263,CUS00263,Smart Solutions,customer263@gmail.com,9562069080,Bangalore,Bronze,0,0,,R004
C0264,CUS00264,Blue Industries,customer264@gmail.com,9124615149,Chennai,Bronze,0,0,,R006
C0265,CUS00265,Tech Enterprises,customer265@gmail.com,9107746543,Bangalore,Bronze,0,0,,R001
C0266,CUS00266,Prime Electronics,customer266@gmail.com,9483540361,Delhi,Bronze,0,0,,R004
C0267,CUS00267,Vertex Technologies,customer267@gmail.com,9457325413,Hyderabad,Bronze,0,0,,R003
C0268,CUS00268,Elite Foods,customer268@gmail.com,9617918648,Chennai,Bronze,0,0,,R003
C0269,CUS00269,Future Solutions,customer269@gmail.com,9311839480,Pune,Bronze,0,0,,R003
C0270,CUS00270,ABC Foods,customer270@gmail.com,9635423070,Dubai,Bronze,0,0,,R005
C0271,CUS00271,Smart Retail,customer271@gmail.com,9368767753,Berlin,Bronze,0,0,,R006
C0272,CUS00272,ABC Industries,customer272@gmail.com,9862557363,Mumbai,Bronze,0,0,,R002
