ID,orderNumber,orderDate,status,totalAmount,discountAmount,netAmount,customer_ID,salesEmployee_ID
O00073,SO000073,2026-05-21,Completed,196100.00,19610.00,176490.00,C0402,E047
O00074,SO000074,2026-05-14,Completed,27038.00,0.00,27038.00,C0270,E001
O00075,SO000075,2025-02-21,Cancelled,968621.00,58374.75,910246.25,C0457,E019
O00076,SO000076,2026-06-27,Completed,149198.00,25967.20,123230.80,C0496,E013
O00077,SO000077,2025-08-20,Pending,448311.00,82602.00,365709.00,C0469,E045
O00078,SO000078,2026-01-29,Completed,153789.00,0.00,153789.00,C0441,E026
O00079,SO000079,2025-08-31,Completed,561488.00,65490.70,495997.30,C0183,E028
O00080,SO000080,2025-07-17,Completed,234810.00,46962.00,187848.00,C0318,E015
O00081,SO000081,2025-12-14,Delivered,859809.00,80365.95,779443.05,C0321,E048
O00082,SO000082,2025-05-11,Completed,460396.00,23019.80,437376.20,C0300,E041
O00083,SO000083,2025-11-11,Completed,934082.00,133944.20,800137.80,C0471,E024
O00084,SO000084,2026-06-16,Pending,814185.00,66474.45,747710.55,C0249,E036
O00085,SO000085,2025-06-17,Completed,168800.00,0.00,168800.00,C0065,E010
O00086,SO000086,2025-08-22,Delivered,173464.00,26019.60,147444.40,C0151,E034
O00087,SO000087,2025-02-01,Completed,444188.00,65319.10,378868.90,C0395,E004
O00088,SO000088,2025-05-30,Completed,615550.00,39719.00,575831.00,C0421,E007
O00089,SO000089,2025-01-11,Completed,1333107.00,214700.60,1118406.40,C0378,E008
O00090,SO000090,2026-05-07,Delivered,437725.00,31855.40,405869.60,C0401,E031
O00091,SO000091,2025-06-10,Completed,257625.00,25762.50,231862.50,C0492,E018
O00092,SO000092,2025-02-16,Completed,940221.00,106441.10,833779.90,C0371,E006
O00093,SO000093,2025-05-19,Pending,409371.00,34414.35,374956.65,C0361,E002
O00094,SO000094,2025-02-24,Completed,97740.00,4887.00,92853.00,C0040,E035
O00095,SO000095,2026-02-05,Cancelled,100588.00,0.00,100588.00,C0271,E004
O00096,SO000096,2025-11-23,Pending,852451.00,110579.35,741871.65,C0238,E033
O00097,SO000097,2026-02-16,Completed,229108.00,24028.40,205079.60,C0325,E005
O00098,SO000098,2025-08-07,Completed,962333.00,131947.35,830385.65,C0134,E019
O00099,SO000099,2026-05-06,Completed,1082922.00,102103.80,980818.20,C0452,E029
O00100,SO000100,2026-03-25,Completed,278596.00,25147.00,253449.00,C0124,E007
O00101,SO000101,2025-10-28,Completed,734535.00,108917.25,625617.75,C0056,E039
O00102,SO000102,2025-04-23,Completed,85482.00,17096.40,68385.60,C0010,E039
O00103,SO000103,2026-06-20,Cancelled,443566.00,51245.10,392320.90,C0272,E046
O00104,SO000104,2026-02-19,Completed,884173.00,123183.20,760989.80,C0042,E029
O00105,SO000105,2026-05-17,Completed,895142.00,108131.60,787010.40,C0183,E026
O00106,SO000106,2025-01-16,Completed,304933.00,2786.25,302146.75,C0203,E019
O00107,SO000107,2026-01-21,Completed,546585.00,93190.25,453394.75,C0055,E022
O00108,SO000108,2026-03-18,Completed,947246.00,48968.40,898277.60,C0161,E009
O00109,SO000109,2025-07-01,Completed,413422.00,16426.70,396995.30,C0465,E031
O00110,SO000110,2025-01-10,Completed,673990.00,70032.50,603957.50,C0144,E048
O00111,SO000111,2025-09-13,Delivered,903459.00,57733.15,845725.85,C0264,E004
O00112,SO000112,2025-02-26,Completed,542704.00,76429.60,466274.40,C0095,E034
O00113,SO000113,2026-04-24,Cancelled,353628.00,30077.90,323550.10,C0348,E041
O00114,SO000114,2025-08-19,Completed,591261.00,78874.50,512386.50,C0493,E022
O00115,SO000115,2026-02-25,Cancelled,160437.00,24065.55,136371.45,C0034,E001
O00116,SO000116,2025-03-02,Completed,232850.00,46570.00,186280.00,C0311,E040
O00117,SO000117,2026-05-27,Delivered,624895.00,48720.55,576174.45,C0453,E049
O00118,SO000118,2026-02-08,Cancelled,246792.00,12339.60,234452.40,C0338,E026
O00119,SO000119,2025-09-01,Completed,826459.00,120213.15,706245.85,C0055,E029
O00120,SO000120,2025-07-25,Completed,728241.00,54441.35,673799.65,C0174,E010
O00121,SO000121,2025-07-17,Pending,548192.00,71570.00,476622.00,C0058,E038
O00122,SO000122,2026-06-01,Cancelled,496160.00,49616.00,446544.00,C0159,E037
O00123,SO000123,2026-05-31,Completed,359757.00,35975.70,323781.30,C0328,E045
O00124,SO000124,2025-04-07,Pending,413008.00,41300.80,371707.20,C0466,E047
O00125,SO000125,2025-03-30,Cancelled,851752.00,87152.25,764599.75,C0293,E037
O00126,SO000126,2025-02-19,Completed,557286.00,81343.30,475942.70,C0269,E030
O00127,SO000127,2025-04-12,Pending,434039.00,4381.90,429657.10,C0152,E007
O00128,SO000128,2026-02-04,Completed,90481.00,3818.00,86663.00,C0238,E014
O00129,SO000129,2026-06-23,Completed,646001.00,37372.90,608628.10,C0220,E033
O00130,SO000130,2025-08-19,Completed,919010.00,106280.70,812729.30,C0137,E042
O00131,SO000131,2025-09-04,Completed,1101750.00,74901.95,1026848.05,C0125,E033
O00132,SO000132,2025-01-06,Pending,374470.00,56170.50,318299.50,C0175,E018
O00133,SO000133,2025-11-26,Completed,1635605.00,238817.00,1396788.00,C0162,E039
O00134,SO000134,2025-04-06,Cancelled,256122.00,34022.60,222099.40,C0162,E031
O00135,SO000135,2025-07-29,Cancelled,66682.00,3334.10,63347.90,C0449,E033
O00136,SO000136,2025-07-01,Completed,363559.00,42096.25,321462.75,C0155,E003
O00137,SO000137,2025-04-22,Pending,629053.00,41010.40,588042.60,C0094,E018
O00138,SO000138,2025-01-12,Cancelled,76614.00,15322.80,61291.20,C0215,E049
O00139,SO000139,2025-01-11,Completed,590429.00,4972.50,585456.50,C0366,E019
O00140,SO000140,2026-03-01,Completed,369676.00,29199.30,340476.70,C0091,E013
O00141,SO000141,2025-08-10,Delivered,554286.00,99803.75,454482.25,C0365,E048
O00142,SO000142,2026-01-02,Completed,64507.00,12901.40,51605.60,C0067,E011
O00143,SO000143,2026-04-16,Completed,1124269.00,98215.85,1026053.15,C0102,E006
O00144,SO000144,2025-09-18,Completed,1006068.00,120895.50,885172.50,C0148,E013
O00145,SO000145,2025-11-02,Completed,87078.00,4353.90,82724.10,C0237,E002
O00146,SO000146,2026-02-16,Delivered,608128.00,72129.20,535998.80,C0398,E017
O00147,SO000147,2026-04-11,Completed,356373.00,57414.50,298958.50,C0008,E049
O00148,SO000148,2026-03-11,Cancelled,728469.00,110924.40,617544.60,C0307,E004
O00149,SO000149,2025-10-03,Completed,950700.00,83216.55,867483.45,C0443,E043
O00150,SO000150,2025-12-13,Completed,471950.00,20536.60,451413.40,C0239,E037
O00151,SO000151,2025-07-25,Cancelled,746194.00,59809.20,686384.80,C0142,E027
O00152,SO000152,2026-05-05,Completed,195932.00,9796.60,186135.40,C0059,E016
O00153,SO000153,2025-02-06,Cancelled,1462098.00,224844.80,1237253.20,C0346,E027
O00154,SO000154,2025-10-27,Completed,659532.00,30684.60,628847.40,C0386,E030
O00155,SO000155,2025-08-28,Completed,80688.00,4034.40,76653.60,C0317,E012
O00156,SO000156,2025-12-08,Completed,842946.00,44555.90,798390.10,C0484,E029
O00157,SO000157,2025-05-29,Completed,313677.00,58567.50,255109.50,C0172,E029
O00158,SO000158,2025-01-01,Cancelled,145590.00,21838.50,123751.50,C0406,E039
O00159,SO000159,2025-09-12,Completed,476304.00,71445.60,404858.40,C0064,E003
O00160,SO000160,2026-05-17,Completed,595265.00,15394.45,579870.55,C0253,E028
O00161,SO000161,2026-02-09,Pending,25147.00,2514.70,22632.30,C0186,E035
O00162,SO000162,2026-03-26,Completed,386193.00,71492.55,314700.45,C0152,E027
O00163,SO000163,2025-12-19,Delivered,637789.00,52382.45,585406.55,C0218,E015
O00164,SO000164,2025-07-13,Cancelled,484520.00,24226.00,460294.00,C0326,E018
O00165,SO000165,2026-01-03,Completed,106716.00,16007.40,90708.60,C0431,E035
O00166,SO000166,2025-07-31,Completed,116094.00,0.00,116094.00,C0079,E023
O00167,SO000167,2025-12-10,Completed,413984.00,17778.30,396205.70,C0345,E014
O00168,SO000168,2025-03-02,Completed,1221669.00,117325.80,1104343.20,C0268,E040
O00169,SO000169,2025-05-06,Completed,1087058.00,114991.55,972066.45,C0358,E043
O00170,SO000170,2025-10-26,Completed,941198.00,120206.25,820991.75,C0308,E019
O00171,SO000171,2026-03-01,Delivered,197906.00,5725.60,192180.40,C0383,E043
O00172,SO000172,2026-06-21,Pending,119574.00,14888.80,104685.20,C0404,E018
O00173,SO000173,2025-04-05,Completed,1210471.00,183159.10,1027311.90,C0155,E029
O00174,SO000174,2025-12-22,Completed,1269017.00,156505.30,1112511.70,C0030,E050
O00175,SO000175,2026-03-20,Completed,383032.00,0.00,383032.00,C0359,E045
O00176,SO000176,2026-01-22,Completed,328586.00,57011.20,271574.80,C0402,E003
O00177,SO000177,2025-03-22,Delivered,216830.00,21683.00,195147.00,C0062,E031
O00178,SO000178,2025-08-25,Completed,187985.00,9399.25,178585.75,C0340,E023
O00179,SO000179,2026-02-15,Completed,437610.00,43761.00,393849.00,C0474,E026
O00180,SO000180,2025-08-09,Delivered,730791.00,109324.60,621466.40,C0415,E028
O00181,SO000181,2025-07-01,Completed,80688.00,4034.40,76653.60,C0067,E016
O00182,SO000182,2025-06-21,Cancelled,705352.00,76935.30,628416.70,C0304,E043
O00183,SO000183,2025-11-24,Completed,171299.00,16473.00,154826.00,C0474,E025
O00184,SO000184,2026-04-02,Cancelled,504647.00,77620.15,427026.85,C0438,E032
O00185,SO000185,2025-02-11,Completed,735946.00,74046.90,661899.10,C0478,E045
O00186,SO000186,2025-07-30,Cancelled,524541.00,67311.20,457229.80,C0428,E047
O00187,SO000187,2025-02-22,Completed,160280.00,0.00,160280.00,C0335,E037
O00188,SO000188,2026-01-24,Delivered,887211.00,97800.55,789410.45,C0057,E035
O00189,SO000189,2026-06-11,Completed,1322379.00,135741.45,1186637.55,C0400,E037
O00190,SO000190,2026-05-15,Cancelled,612584.00,62779.20,549804.80,C0257,E044
O00191,SO000191,2025-07-22,Completed,1449293.00,158403.35,1290889.65,C0286,E034
O00192,SO000192,2025-07-08,Completed,979289.00,113881.40,865407.60,C0158,E041
O00193,SO000193,2025-05-06,Completed,305796.00,61159.20,244636.80,C0277,E013
O00194,SO000194,2026-04-26,Completed,1049353.00,166629.05,882723.95,C0084,E028
O00195,SO000195,2025-01-29,Completed,441559.00,84592.85,356966.15,C0235,E040
O00196,SO000196,2025-10-27,Pending,508519.00,55208.35,453310.65,C0250,E018
O00197,SO000197,2025-10-18,Completed,722792.00,0.00,722792.00,C0330,E031
O00198,SO000198,2025-07-26,Completed,531978.00,79796.70,452181.30,C0382,E020
O00199,SO000199,2025-09-12,Completed,384398.00,24836.95,359561.05,C0269,E022
O00200,SO000200,2025-09-27,Completed,963470.00,114476.40,848993.60,C0263,E004
O00201,SO000201,2026-06-12,Completed,592623.00,42777.60,549845.40,C0449,E019
O00202,SO000202,2025-12-28,Cancelled,86618.00,12992.70,73625.30,C0088,E026
O00203,SO000203,2025-08-31,Pending,690266.00,103539.90,586726.10,C0227,E033
O00204,SO000204,2025-08-24,Completed,267482.00,31002.10,236479.90,C0275,E028
O00205,SO000205,2025-09-25,Completed,848248.00,0.00,848248.00,C0015,E017
O00206,SO000206,2025-02-06,Completed,414113.00,40311.25,373801.75,C0330,E026
O00207,SO000207,2026-03-31,Completed,166705.00,25005.75,141699.25,C0014,E045
O00208,SO000208,2025-02-27,Completed,85482.00,0.00,85482.00,C0356,E007
O00209,SO000209,2025-09-03,Delivered,702138.00,89049.90,613088.10,C0467,E004
O00210,SO000210,2025-04-29,Completed,765387.00,114808.05,650578.95,C0003,E033
O00211,SO000211,2026-04-24,Completed,618656.00,67802.50,550853.50,C0027,E014
O00212,SO000212,2025-05-11,Delivered,1106857.00,52320.30,1054536.70,C0461,E001
O00213,SO000213,2025-01-27,Completed,459250.00,91850.00,367400.00,C0436,E020
O00214,SO000214,2025-10-17,Completed,1007259.00,108666.90,898592.10,C0471,E004
O00215,SO000215,2025-04-20,Delivered,407512.00,10002.30,397509.70,C0177,E010
O00216,SO000216,2026-02-16,Cancelled,359234.00,35653.05,323580.95,C0402,E032
O00217,SO000217,2025-10-10,Delivered,909374.00,135671.20,773702.80,C0348,E024
O00218,SO000218,2025-05-04,Delivered,174725.00,4143.75,170581.25,C0307,E011
O00219,SO000219,2025-11-14,Completed,76773.00,0.00,76773.00,C0208,E005
O00220,SO000220,2025-07-19,Completed,37122.00,7424.40,29697.60,C0178,E039
O00221,SO000221,2025-05-25,Completed,1156489.00,107161.60,1049327.40,C0419,E043
O00222,SO000222,2026-05-11,Completed,680010.00,55930.65,624079.35,C0286,E025
O00223,SO000223,2025-04-18,Delivered,290200.00,0.00,290200.00,C0353,E035
O00224,SO000224,2025-09-11,Completed,748124.00,83507.70,664616.30,C0490,E022
O00225,SO000225,2026-05-11,Completed,1187098.00,190347.95,996750.05,C0007,E033
O00226,SO000226,2026-01-01,Completed,456129.00,75008.50,381120.50,C0281,E037
O00227,SO000227,2025-09-28,Delivered,771774.00,118470.70,653303.30,C0073,E017
O00228,SO000228,2025-02-10,Completed,1570463.00,125660.00,1444803.00,C0200,E021
O00229,SO000229,2026-02-07,Completed,350572.00,5096.60,345475.40,C0170,E012
O00230,SO000230,2025-11-09,Completed,194707.00,7956.75,186750.25,C0333,E047
O00231,SO000231,2026-03-16,Delivered,580563.00,29028.15,551534.85,C0322,E006
O00232,SO000232,2025-02-19,Completed,81114.00,0.00,81114.00,C0299,E007
O00233,SO000233,2025-07-01,Cancelled,299907.00,0.00,299907.00,C0249,E006
O00234,SO000234,2026-01-02,Cancelled,1075819.00,129754.65,946064.35,C0262,E040
O00235,SO000235,2026-04-28,Cancelled,527526.00,56084.90,471441.10,C0101,E043
O00236,SO000236,2025-10-16,Cancelled,678628.00,52245.65,626382.35,C0402,E046
O00237,SO000237,2025-03-14,Delivered,831405.00,73421.30,757983.70,C0268,E042
O00238,SO000238,2026-03-29,Completed,607703.00,11937.30,595765.70,C0247,E028
O00239,SO000239,2025-07-18,Completed,10086.00,1008.60,9077.40,C0147,E003
O00240,SO000240,2025-10-30,Completed,1189954.00,131543.90,1058410.10,C0156,E024
O00241,SO000241,2025-04-05,Delivered,312699.00,20497.50,292201.50,C0463,E013
O00242,SO000242,2025-08-20,Completed,257975.00,2652.25,255322.75,C0322,E014
O00243,SO000243,2025-12-10,Cancelled,13563.00,2034.45,11528.55,C0259,E042
O00244,SO000244,2026-06-20,Pending,853469.00,43369.15,810099.85,C0324,E016
O00245,SO000245,2025-03-07,Completed,840494.00,60522.60,779971.40,C0441,E033
O00246,SO000246,2025-02-21,Completed,387552.00,61132.90,326419.10,C0153,E047
O00247,SO000247,2026-02-12,Completed,597986.00,32932.20,565053.80,C0266,E013
O00248,SO000248,2025-07-02,Pending,1099011.00,105499.10,993511.90,C0324,E005
O00249,SO000249,2026-05-25,Completed,352616.00,5723.20,346892.80,C0227,E031
O00250,SO000250,2025-02-25,Cancelled,451130.00,45113.00,406017.00,C0438,E006
O00251,SO000251,2025-10-04,Completed,79946.00,7994.60,71951.40,C0122,E050
O00252,SO000252,2025-11-19,Completed,262899.00,16402.95,246496.05,C0026,E022
O00253,SO000253,2026-05-24,Completed,928068.00,80368.90,847699.10,C0016,E008
O00254,SO000254,2025-05-12,Completed,555101.00,18695.80,536405.20,C0165,E011
O00255,SO000255,2025-01-05,Pending,277835.00,41675.25,236159.75,C0400,E043
O00256,SO000256,2025-11-21,Completed,728597.00,107033.90,621563.10,C0034,E002
O00257,SO000257,2025-05-23,Completed,595380.00,89307.00,506073.00,C0055,E014
O00258,SO000258,2025-12-04,Cancelled,987252.00,98409.55,888842.45,C0354,E011
O00259,SO000259,2025-09-09,Completed,742408.00,60531.60,681876.40,C0083,E041
O00260,SO000260,2026-01-03,Completed,485205.00,34501.60,450703.40,C0056,E014
O00261,SO000261,2025-07-22,Delivered,891361.00,30917.30,860443.70,C0282,E026
O00262,SO000262,2025-09-06,Cancelled,350920.00,12393.50,338526.50,C0081,E047
O00263,SO000263,2025-01-23,Delivered,718917.00,38112.55,680804.45,C0242,E015
O00264,SO000264,2025-05-25,Completed,396368.00,19818.40,376549.60,C0039,E003
O00265,SO000265,2026-05-28,Delivered,233261.00,11663.05,221597.95,C0137,E013
O00266,SO000266,2026-02-28,Delivered,541472.00,84258.90,457213.10,C0125,E043
O00267,SO000267,2025-06-10,Completed,439840.00,26946.60,412893.40,C0165,E010
O00268,SO000268,2026-03-24,Cancelled,755803.00,126704.50,629098.50,C0457,E047
O00269,SO000269,2026-02-11,Completed,426577.00,15980.95,410596.05,C0437,E014
O00270,SO000270,2025-02-16,Pending,511448.00,61165.80,450282.20,C0322,E024
O00271,SO000271,2026-03-23,Completed,647541.00,59112.60,588428.40,C0046,E042
O00272,SO000272,2025-09-10,Pending,280359.00,56071.80,224287.20,C0261,E008
O00273,SO000273,2025-11-24,Completed,162813.00,11859.60,150953.40,C0439,E047
O00274,SO000274,2026-05-22,Completed,337430.00,50614.50,286815.50,C0241,E041
O00275,SO000275,2026-05-05,Completed,680103.00,54611.70,625491.30,C0100,E017
O00276,SO000276,2025-06-15,Cancelled,245557.00,43429.65,202127.35,C0352,E046
O00277,SO000277,2026-05-09,Completed,604907.00,65254.50,539652.50,C0365,E046
O00278,SO000278,2025-05-25,Cancelled,150853.00,7542.65,143310.35,C0093,E018
O00279,SO000279,2025-05-25,Delivered,723168.00,36936.30,686231.70,C0309,E046
O00280,SO000280,2025-04-19,Completed,428770.00,24380.00,404390.00,C0433,E050
O00281,SO000281,2026-02-01,Completed,227675.00,35708.80,191966.20,C0191,E016
O00282,SO000282,2026-06-26,Completed,338031.00,33912.60,304118.40,C0086,E045
O00283,SO000283,2025-12-24,Completed,239582.00,11979.10,227602.90,C0198,E002
O00284,SO000284,2025-07-05,Completed,165750.00,24862.50,140887.50,C0220,E009
O00285,SO000285,2026-01-11,Completed,441608.00,31151.00,410457.00,C0489,E033
O00286,SO000286,2025-03-09,Completed,1197360.00,53652.75,1143707.25,C0020,E039
O00287,SO000287,2026-04-15,Completed,13893.00,0.00,13893.00,C0190,E021
O00288,SO000288,2026-03-22,Completed,146540.00,22358.50,124181.50,C0134,E013
O00289,SO000289,2025-07-24,Completed,1088273.00,96990.50,991282.50,C0346,E046
O00290,SO000290,2025-06-15,Completed,907205.00,95568.85,811636.15,C0026,E040
O00291,SO000291,2026-01-15,Completed,650080.00,101389.65,548690.35,C0228,E016
O00292,SO000292,2025-03-05,Cancelled,941025.00,37323.55,903701.45,C0026,E009
O00293,SO000293,2025-10-17,Cancelled,337430.00,67486.00,269944.00,C0002,E025
O00294,SO000294,2025-09-16,Cancelled,1420897.00,155690.20,1265206.80,C0475,E020
O00295,SO000295,2026-01-16,Delivered,1472610.00,136198.00,1336412.00,C0334,E028
O00296,SO000296,2026-03-27,Cancelled,946866.00,70079.30,876786.70,C0257,E039
O00297,SO000297,2025-01-03,Completed,791128.00,58784.10,732343.90,C0001,E029
O00298,SO000298,2025-07-28,Completed,1066115.00,213223.00,852892.00,C0250,E038
O00299,SO000299,2025-03-16,Completed,1130178.00,186857.55,943320.45,C0098,E002
O00300,SO000300,2025-10-09,Completed,179137.00,8956.85,170180.15,C0276,E017
O00301,SO000301,2025-08-18,Completed,191345.00,19134.50,172210.50,C0366,E011
O00302,SO000302,2026-05-19,Pending,204728.00,40945.60,163782.40,C0271,E029
O00303,SO000303,2026-03-02,Pending,296320.00,14816.00,281504.00,C0322,E031
O00304,SO000304,2025-08-14,Completed,1228861.00,46845.60,1182015.40,C0483,E003
O00305,SO000305,2025-11-13,Delivered,939230.00,124051.85,815178.15,C0023,E008
O00306,SO000306,2026-02-19,Completed,1003690.00,102571.40,901118.60,C0486,E011
O00307,SO000307,2025-04-15,Cancelled,382267.00,2083.95,380183.05,C0219,E002
O00308,SO000308,2026-05-26,Completed,307447.00,30744.70,276702.30,C0367,E039
O00309,SO000309,2025-03-30,Pending,863205.00,98576.25,764628.75,C0003,E048
O00310,SO000310,2026-03-14,Completed,689565.00,39843.45,649721.55,C0478,E046
O00311,SO000311,2025-04-03,Completed,1300797.00,84826.05,1215970.95,C0022,E046
O00312,SO000312,2026-04-07,Completed,327643.00,37061.20,290581.80,C0256,E011
O00313,SO000313,2025-05-23,Completed,236908.00,4794.20,232113.80,C0438,E004
O00314,SO000314,2025-08-03,Completed,469754.00,15106.95,454647.05,C0286,E021
O00315,SO000315,2025-10-21,Cancelled,26826.00,0.00,26826.00,C0480,E012
O00316,SO000316,2026-03-09,Completed,206016.00,0.00,206016.00,C0366,E012
O00317,SO000317,2025-04-07,Completed,556045.00,100879.75,455165.25,C0281,E030
O00318,SO000318,2025-11-11,Pending,333426.00,49687.20,283738.80,C0310,E013
O00319,SO000319,2025-04-26,Delivered,1513131.00,128575.80,1384555.20,C0488,E007
O00320,SO000320,2025-01-12,Cancelled,369560.00,37005.95,332554.05,C0291,E008
O00321,SO000321,2025-06-08,Cancelled,330962.00,21414.60,309547.40,C0319,E049
O00322,SO000322,2025-04-27,Completed,530138.00,35240.40,494897.60,C0079,E047
O00323,SO000323,2026-05-23,Completed,893890.00,24984.90,868905.10,C0232,E042
O00324,SO000324,2025-12-06,Completed,469582.00,36057.90,433524.10,C0293,E037
O00325,SO000325,2025-04-02,Completed,225565.00,33834.75,191730.25,C0381,E007
O00326,SO000326,2025-06-27,Completed,32946.00,4941.90,28004.10,C0134,E038
