ID,order_ID,product_ID,quantity,sellingPrice,discount,lineAmount
I000402,O00131,P0001,5,45925,0,229625.00
I000403,O00131,P0056,6,42380,10,228852.00
I000404,O00131,P0052,2,28616,20,45785.60
I000405,O00132,P0048,10,37447,15,318299.50
I000406,O00133,P0031,8,47765,15,324802.00
I000407,O00133,P0100,5,17786,5,84483.50
I000408,O00133,P0045,8,49014,10,352900.80
I000409,O00133,P0097,9,36994,15,283004.10
I000410,O00133,P0060,9,48833,20,351597.60
I000411,O00134,P0036,2,48983,10,88169.40
I000412,O00134,P0091,2,60565,20,96904.00
I000413,O00134,P0044,1,37026,0,37026.00
I000414,O00135,P0063,2,33341,5,63347.90
I000415,O00136,P0071,3,38269,15,97585.95
I000416,O00136,P0073,7,35536,10,223876.80
I000417,O00137,P0050,3,55567,0,166701.00
I000418,O00137,P0082,8,51263,10,369093.60
I000419,O00137,P0098,4,13062,0,52248.00
I000420,O00138,P0070,2,38307,20,61291.20
I000421,O00139,P0050,8,55567,0,444536.00
I000422,O00139,P0013,6,16028,0,96168.00
I000423,O00139,P0058,3,16575,10,44752.50
I000424,O00140,P0030,4,38698,0,154792.00
I000425,O00140,P0001,2,45925,5,87257.50
I000426,O00140,P0042,2,61517,20,98427.20
I000427,O00141,P0067,1,29020,5,27569.00
I000428,O00141,P0046,1,29632,5,28150.40
I000429,O00141,P0007,1,19610,20,15688.00
I000430,O00141,P0068,9,47879,20,344728.80
I000431,O00141,P0032,1,45113,15,38346.05
I000432,O00142,P0003,1,64507,20,51605.60
I000433,O00143,P0049,9,60308,10,488494.80
I000434,O00143,P0079,3,49546,15,126342.30
I000435,O00143,P0021,7,61837,5,411216.05
I000436,O00144,P0008,10,57417,10,516753.00
I000437,O00144,P0067,2,29020,15,49334.00
I000438,O00144,P0041,1,26259,15,22320.15
I000439,O00144,P0001,7,45925,15,273253.75
I000440,O00144,P0098,2,13062,10,23511.60
I000441,O00145,P0081,6,14513,5,82724.10
I000442,O00146,P0012,8,28291,15,192378.80
I000443,O00146,P0065,10,38180,10,343620.00
I000444,O00147,P0035,3,13563,10,36620.10
I000445,O00147,P0063,8,33341,20,213382.40
I000446,O00147,P0083,2,24478,0,48956.00
I000447,O00148,P0064,5,36237,20,144948.00
I000448,O00148,P0023,4,55725,15,189465.00
I000449,O00148,P0044,4,37026,10,133293.60
I000450,O00148,P0094,5,35256,15,149838.00
I000451,O00149,P0058,7,16575,15,98621.25
I000452,O00149,P0017,2,51525,0,103050.00
I000453,O00149,P0032,6,45113,15,230076.30
I000454,O00149,P0009,8,52209,5,396788.40
I000455,O00149,P0077,5,8655,10,38947.50
I000456,O00150,P0062,8,33323,0,266584.00
I000457,O00150,P0087,2,49638,10,89348.40
I000458,O00150,P0043,2,53045,10,95481.00
I000459,O00151,P0087,7,49638,0,347466.00
I000460,O00151,P0088,8,49841,15,338918.80
I000461,O00152,P0036,4,48983,5,186135.40
I000462,O00153,P0090,8,33743,5,256446.80
I000463,O00153,P0025,1,9681,0,9681.00
I000464,O00153,P0048,10,37447,20,299576.00
I000465,O00153,P0021,9,61837,20,445226.40
I000466,O00153,P0080,10,25147,10,226323.00
I000467,O00154,P0076,9,15519,10,125703.90
I000468,O00154,P0023,6,55725,5,317632.50
I000469,O00154,P0021,3,61837,0,185511.00
I000470,O00155,P0075,8,10086,5,76653.60
I000471,O00156,P0027,8,35875,0,287000.00
I000472,O00156,P0097,8,36994,10,266356.80
I000473,O00156,P0007,1,19610,15,16668.50
I000474,O00156,P0011,10,14495,5,137702.50
I000475,O00156,P0010,2,47717,5,90662.30
I000476,O00157,P0074,9,25591,20,184255.20
I000477,O00157,P0086,6,13893,15,70854.30
I000478,O00158,P0047,3,48530,15,123751.50
I000479,O00159,P0004,8,59538,15,404858.40
I000480,O00160,P0035,1,13563,15,11528.55
I000481,O00160,P0093,8,46962,0,375696.00
I000482,O00160,P0045,1,49014,20,39211.20
I000483,O00160,P0100,4,17786,5,67586.80
I000484,O00160,P0052,3,28616,0,85848.00
I000485,O00161,P0080,1,25147,10,22632.30
I000486,O00162,P0058,6,16575,20,79560.00
I000487,O00162,P0059,9,27604,20,198748.80
I000488,O00162,P0070,1,38307,5,36391.65
I000489,O00163,P0021,7,61837,5,411216.05
I000490,O00163,P0089,10,20493,15,174190.50
I000491,O00164,P0091,8,60565,5,460294.00
I000492,O00165,P0100,6,17786,15,90708.60
I000493,O00166,P0030,3,38698,0,116094.00
I000494,O00167,P0014,6,22374,10,120819.60
I000495,O00167,P0090,7,33743,0,236201.00
I000496,O00167,P0081,3,14513,10,39185.10
I000497,O00168,P0057,10,42897,15,364624.50
I000498,O00168,P0062,8,33323,15,226596.40
I000499,O00168,P0066,7,12374,15,73625.30
I000500,O00168,P0060,9,48833,0,439497.00
I000501,O00169,P0013,7,16028,15,95366.60
I000502,O00169,P0043,7,53045,10,334183.50
I000503,O00169,P0039,1,13519,15,11491.15
I000504,O00169,P0060,8,48833,10,351597.60
I000505,O00169,P0088,4,49841,10,179427.60
I000506,O00170,P0031,3,47765,20,114636.00
I000507,O00170,P0059,9,27604,5,236014.20
I000508,O00170,P0092,2,10982,0,21964.00
I000509,O00170,P0007,5,19610,15,83342.50
I000510,O00170,P0010,9,47717,15,365035.05
I000511,O00171,P0018,4,28628,5,108786.40
I000512,O00171,P0053,9,9266,0,83394.00
I000513,O00172,P0031,1,47765,20,38212.00
I000514,O00172,P0100,2,17786,15,30236.20
I000515,O00172,P0064,1,36237,0,36237.00
I000516,O00173,P0100,4,17786,10,64029.60
I000517,O00173,P0039,6,13519,15,68946.90
I000518,O00173,P0031,10,47765,10,429885.00
I000519,O00173,P0003,9,64507,20,464450.40
I000520,O00174,P0087,9,49638,15,379730.70
I000521,O00174,P0012,10,28291,5,268764.50
I000522,O00174,P0026,5,43366,5,205988.50
I000523,O00174,P0003,5,64507,20,258028.00
I000524,O00175,P0068,8,47879,0,383032.00
I000525,O00176,P0028,1,31151,20,24920.80
I000526,O00176,P0068,5,47879,20,191516.00
I000527,O00176,P0067,2,29020,5,55138.00
I000528,O00177,P0026,5,43366,10,195147.00
I000529,O00178,P0055,5,37597,5,178585.75
I000530,O00179,P0024,7,28494,10,179512.20
I000531,O00179,P0004,4,59538,10,214336.80
I000532,O00180,P0013,8,16028,10,115401.60
I000533,O00180,P0039,3,13519,10,36501.30
I000534,O00180,P0077,2,8655,15,14713.50
I000535,O00180,P0069,5,32580,20,130320.00
I000536,O00180,P0065,10,38180,15,324530.00
I000537,O00181,P0075,8,10086,5,76653.60
I000538,O00182,P0059,6,27604,0,165624.00
I000539,O00182,P0001,10,45925,15,390362.50
I000540,O00182,P0022,6,13413,10,72430.20
I000541,O00183,P0089,3,20493,0,61479.00
I000542,O00183,P0092,10,10982,15,93347.00
I000543,O00184,P0037,7,34307,15,204126.65
I000544,O00184,P0012,7,28291,20,158429.60
I000545,O00184,P0076,3,15519,0,46557.00
I000546,O00184,P0078,2,9952,10,17913.60
I000547,O00185,P0099,1,53479,20,42783.20
I000548,O00185,P0061,9,24793,10,200823.30
I000549,O00185,P0041,6,26259,10,141798.60
I000550,O00185,P0019,4,50966,10,183477.60
I000551,O00185,P0083,4,24478,5,93016.40
I000552,O00186,P0039,10,13519,20,108152.00
I000553,O00186,P0055,5,37597,0,187985.00
I000554,O00186,P0014,9,22374,20,161092.80
I000555,O00187,P0013,10,16028,0,160280.00
I000556,O00188,P0049,4,60308,10,217108.80
I000557,O00188,P0022,8,13413,15,91208.40
I000558,O00188,P0051,8,21836,20,139750.40
I000559,O00188,P0031,7,47765,5,317637.25
I000560,O00188,P0046,1,29632,20,23705.60
I000561,O00189,P0010,7,47717,5,317318.05
I000562,O00189,P0056,9,42380,20,305136.00
I000563,O00189,P0087,5,49638,10,223371.00
I000564,O00189,P0027,10,35875,5,340812.50
I000565,O00190,P0078,6,9952,20,47769.60
I000566,O00190,P0035,8,13563,10,97653.60
I000567,O00190,P0073,5,35536,15,151028.00
I000568,O00190,P0046,9,29632,5,253353.60
I000569,O00191,P0037,9,34307,15,262448.55
I000570,O00191,P0082,7,51263,5,340898.95
I000571,O00191,P0079,8,49546,20,317094.40
I000572,O00191,P0006,7,42495,5,282591.75
I000573,O00191,P0092,8,10982,0,87856.00
I000574,O00192,P0023,2,55725,5,105877.50
I000575,O00192,P0093,8,46962,10,338126.40
I000576,O00192,P0027,6,35875,20,172200.00
I000577,O00192,P0060,1,48833,10,43949.70
I000578,O00192,P0069,7,32580,10,205254.00
I000579,O00193,P0019,6,50966,20,244636.80
I000580,O00194,P0087,7,49638,15,295346.10
